Issue Id,Issue Type,Summary,Assignee,Due Date,Priority,Labels,Parent Id,Description
1,Epic,E1 계층별 현황·미구현 정리 → 취합 (9/18),팀장(박준석),2026-09-18,Highest,,,각 계층 담당이 '있음/부분/없음 + 필요한 작업 + 소요 h' 표로 보고 → 팀장 취합·확정 → Jira 등록. 값은 🛠️ 콘솔 구축 가이드 ①~⑬ 절 번호로 참조.
2,Task,CDN·보안 계층 미구현 정리 보고,팀장(박준석),2026-09-18,High,,1,
3,Sub-task,Route 53 존 · 가비아 NS 위임 · A/AAAA alias (①),팀장(박준석),2026-09-18,Medium,,2,
4,Sub-task,ACM 2개(us-east-1 · 서울) 발급 상태 (②-1 · ④-1),팀장(박준석),2026-09-18,Medium,,2,
5,Sub-task,CloudFront: 오리진(ALB·점검 S3·정적 S3) · Behavior 6 · 오류 응답 · 표준 로그 (②-3),팀장(박준석),2026-09-18,Medium,,2,
6,Sub-task,WAF Web ACL 규칙 6 · 로그 그룹 aws-waf-logs-mc · 배포 연결 (②-2),팀장(박준석),2026-09-18,Medium,,2,
7,Sub-task,Public ALB 443 · 기본 403 · X-Origin-Verify 규칙 · SG 443 ← CloudFront 프리픽스 · 80 리스너 없음 (④),팀장(박준석),2026-09-18,Medium,,2,
8,Sub-task,Bastion · 키 mc-ssh · SG 22 ← 팀 IP /32 · WEB/WAS 22 ← bastion (⑬),팀장(박준석),2026-09-18,Medium,,2,
9,Sub-task,S3 버킷 4(점검·정적·로그·cloudtrail) · KMS mc-cmk · CloudTrail mc-trail (0-4 · 0-5 · ⑪),팀장(박준석),2026-09-18,Medium,,2,
10,Sub-task,알람 3 · SNS mc-alerts 이메일 구독 (⑫),팀장(박준석),2026-09-18,Medium,,2,
11,Task,WEB 계층 미구현 정리 보고,WEB 담당,2026-09-18,High,,1,
12,Sub-task,Apache: index.html 랜딩 · /static/ · ProxyPass /petclinic/ → Internal ALB · /health.html (⑤-2),WEB 담당,2026-09-18,Medium,,11,
13,Sub-task,CustomLog 중복(httpd.conf 기본) 제거 여부 · 헬스체크 필터,WEB 담당,2026-09-18,Medium,,11,
14,Sub-task,IAM 인스턴스 프로파일 부착 · CloudWatch Agent · /petclinic/web/access·error 스트림 (⑩),WEB 담당,2026-09-18,Medium,,11,
15,Sub-task,mc-tg-web 헬스체크 /health.html 10s·2/3 · 대상 2대 healthy (④-2),WEB 담당,2026-09-18,Medium,,11,
16,Sub-task,시작 템플릿·ASG 버전($Latest) · 인스턴스 새로 고침 상태,WEB 담당,2026-09-18,Medium,,11,
17,Task,WAS 계층 미구현 정리 보고,WAS 담당,2026-09-18,High,,1,
18,Sub-task,Tomcat 9.0.121 · Corretto 8 · petclinic.war (JDBC = Proxy 엔드포인트 · sslMode=REQUIRED · 사용자 petclinic_app) (⑦-2),WAS 담당,2026-09-18,Medium,,17,
19,Sub-task,WAS 2대(AZ a/c) · Internal ALB mc-tg-was 헬스체크 /petclinic/ (⑥),WAS 담당,2026-09-18,Medium,,17,
20,Sub-task,부팅 대기 로직(Proxy 로그인 성공까지 · 404면 재시작) 적용 여부,WAS 담당,2026-09-18,Medium,,17,
21,Sub-task,풀 설정 testOnBorrow·유휴 회수 (datasource-config.xml),WAS 담당,2026-09-18,Medium,,17,
22,Sub-task,프로파일 · CloudWatch Agent · /petclinic/was/catalina·access·gc (⑩),WAS 담당,2026-09-18,Medium,,17,
23,Sub-task,/petclinic/test.jsp 로 WEB→WAS→DB 확인,WAS 담당,2026-09-18,Medium,,17,
24,Task,DB 계층 미구현 정리 보고,DB 담당,2026-09-18,High,,1,
25,Sub-task,RDS Multi-AZ · 8.4 · 스토리지 암호화 · 백업 7일 (⑧-2),DB 담당,2026-09-18,Medium,,24,
26,Sub-task,파라미터 그룹 require_secure_transport=1 · slow_query_log=1 · 적용 상태(in-sync/pending-reboot) (⑧-1),DB 담당,2026-09-18,Medium,,24,
27,Sub-task,RDS Proxy: TLS 필요 · 인증 비밀 2개(admin + app-db) · 대상 AVAILABLE (⑨-2),DB 담당,2026-09-18,Medium,,24,
28,Sub-task,앱 사용자 petclinic_app 생성 · 비밀 mc/petclinic/app-db (0-6),DB 담당,2026-09-18,Medium,,24,
29,Sub-task,로그 내보내기 error · slowquery → CloudWatch Logs 그룹 (10-2),DB 담당,2026-09-18,Medium,,24,
30,Sub-task,AWS Backup 볼트·계획 (9-3) · SG 3306 체인(rds ← proxy 만),DB 담당,2026-09-18,Medium,,24,
31,Task,취합·확정 → Jira 등록 · 오늘 멘토링 보고서,팀장(박준석),2026-09-18,High,,1,
32,Sub-task,4개 보고 취합 → P0(시연 필수)/P1(발표 언급)/P2(로드맵) 분류,팀장(박준석),2026-09-18,Medium,,31,
33,Sub-task,각자 Jira 태스크·체크리스트 생성 확인,팀장(박준석),2026-09-18,Medium,,31,
34,Sub-task,멘토링 보고서(진행률·이슈·개인 활동) 제출 · 녹화 업로드 · 다음 멘토링 9/22 안건 등록,팀장(박준석),2026-09-18,Medium,,31,
35,Epic,E2 콘솔 구현 마무리 — 로그 수집(CloudWatch Logs · S3) + 시연 시나리오 통과 (9/19~9/21),팀장(박준석),2026-09-21,Highest,,,"'무엇을 수집하나' 정의 → 콘솔 구현. 앱·Bastion·RDS·Proxy = CloudWatch Logs, ALB·CloudFront·CloudTrail = S3 객체. 완료 기준 = 시나리오 A(정상)·B(장애·복구) 1회 통과."
36,Task,WEB 로그 수집: /petclinic/web/access · /petclinic/web/error,WEB 담당,2026-09-20,High,,35,
37,Sub-task,로그 그룹 2개 생성(보존 30일) · SSM 파라미터 /petclinic/cwagent/web (10-1 JSON),WEB 담당,2026-09-20,Medium,,36,
38,Sub-task,Agent fetch-config → 스트림(인스턴스 ID) 생성 확인 · 헬스체크 줄 제외 확인,WEB 담당,2026-09-20,Medium,,36,
39,Sub-task,ALB 액세스 로그 → s3://mc-logs/alb/public · alb/internal 켜기 (④-3 속성),WEB 담당,2026-09-20,Medium,,36,
40,Task,WAS 로그 수집: /petclinic/was/catalina · access · gc,WAS 담당,2026-09-20,High,,35,
41,Sub-task,로그 그룹 3개 · /petclinic/cwagent/was · Agent 적용 · 스트림 확인,WAS 담당,2026-09-20,Medium,,40,
42,Sub-task,catalina.out 에서 'Access denied' 검색이 되는지(장애 시나리오용),WAS 담당,2026-09-20,Medium,,40,
43,Task,DB 로그 수집: RDS error · slowquery · Proxy 로그,DB 담당,2026-09-20,High,,35,
44,Sub-task,그룹 /aws/rds/instance/<id>/error · /slowquery · /aws/rds/proxy/<name> 보존 30일,DB 담당,2026-09-20,Medium,,43,
45,Sub-task,RDS 수정 → 로그 내보내기 error·slowquery · long_query_time=2 · 슬로우 쿼리 1건 발생시켜 확인,DB 담당,2026-09-20,Medium,,43,
46,Task,공통 로그: Bastion sshd → /petclinic/bastion/secure · CloudTrail → S3 · CloudFront 로그 → S3,팀장(박준석),2026-09-20,High,,35,
47,Sub-task,Bastion CW Agent /petclinic/cwagent/bastion · /var/log/secure 스트림,팀장(박준석),2026-09-20,Medium,,46,
48,Sub-task,CloudTrail mc-trail(다중 리전·검증) → mc-cloudtrail 버킷 정책(AclCheck·Write) · 첫 객체 확인,팀장(박준석),2026-09-20,Medium,,46,
49,Sub-task,CloudFront 표준 로그 → mc-logs/cloudfront/ (버킷 ACL BucketOwnerPreferred) · 첫 객체(≤1h),팀장(박준석),2026-09-20,Medium,,46,
50,Sub-task,S3 수명 주기: alb/ cloudfront/ 90일 · cwlogs/ 365일,팀장(박준석),2026-09-20,Medium,,46,
51,Task,(P2) CloudWatch Logs → Firehose → S3 사본 (10-2),팀장(박준석),2026-09-22,Low,,35,
52,Sub-task,IAM 역할 2 · Firehose 4(web/was/bastion/db) · 구독 필터 9 · cwlogs/ 객체 확인,팀장(박준석),2026-09-22,Medium,,51,
53,Task,알람 3 + SNS 이메일 4명 구독·승인 · WEB HealthyHost 알람 추가,팀장(박준석),2026-09-21,High,,35,
54,Sub-task,mc-was-unhealthy-host · mc-alb-p95-latency · mc-rds-connections-high · (추가) mc-web-unhealthy-host,팀장(박준석),2026-09-21,Medium,,53,
55,Sub-task,4명 이메일 구독 → 확인 메일 승인 → 테스트 알람 1회 수신,팀장(박준석),2026-09-21,Medium,,53,
56,Task,시연 시나리오 A(정상 흐름) · B(장애·복구) 1회 통과 + 캡처,시연 담당,2026-09-21,Highest,,35,
57,Sub-task,A: 도메인 → 랜딩(200) → /petclinic/ → owner 등록 → Bastion mysql 로 행 확인 → CloudFront Hit 헤더,시연 담당,2026-09-21,Medium,,56,
58,Sub-task,B: WAS 1대 tomcat stop → TG unhealthy → 알람 메일 → 사이트 계속 200 → /petclinic/was/catalina 로 원인 → start → healthy,시연 담당,2026-09-21,Medium,,56,
59,Sub-task,캡처: 콘솔 화면·메일·로그 한 줄·헬스체크 전환 (슬라이드용),시연 담당,2026-09-21,Medium,,56,
60,Epic,E3 JMeter 읽기·쓰기 부하 테스트 (9/21~9/22),WAS 담당,2026-09-22,High,,,"읽기 GET /petclinic/vets · /petclinic/owners?lastName= , 쓰기 POST /petclinic/owners/new. 발생기 IP 를 WAF allow-loadgen IP set 에 먼저 넣을 것(rate-all 2,000/5분 차단)."
61,Task,부하 테스트 계획서 1장,WAS 담당,2026-09-21,High,,60,
62,Sub-task,시나리오: 읽기 70% (vets · owners 검색) · 쓰기 30% (owners/new POST 폼) · 스레드 50 · 램프 60s · 10분,WAS 담당,2026-09-21,Medium,,61,
63,Sub-task,발생기: 로컬 PC 또는 퍼블릭 서브넷 EC2 — 공인 IP → WAF IP set mc-loadgen,WAS 담당,2026-09-21,Medium,,61,
64,Sub-task,관측 지표 목록: ALB TargetResponseTime p95·5xx · WAS CPU·mem(MC/WAS) · RDS DatabaseConnections·CPU · slowquery 건수 · (ASG면) 인스턴스 수,WAS 담당,2026-09-21,Medium,,61,
65,Task,부하 테스트 실행 + 지표 캡처,WAS 담당,2026-09-22,High,,60,
66,Sub-task,JMeter 실행(10분) · 결과 요약(요청 수·오류율·p95),WAS 담당,2026-09-22,Medium,,65,
67,Sub-task,CloudWatch 그래프 캡처 5장(ALB·WAS·RDS·Proxy·알람 상태),WAS 담당,2026-09-22,Medium,,65,
68,Sub-task,DB 담당: 테스트 중 DatabaseConnections · slowquery 로그 캡처,WAS 담당,2026-09-22,Medium,,65,
69,Task,결과 정리 1장: 병목·한계·개선안(ASG·Read Replica·캐시),WAS 담당,2026-09-22,Medium,,60,
70,Epic,E4 네이밍·태그 정리 + 계층별 트러블슈팅 정리 보고 (9/22~9/23),팀장(박준석),2026-09-23,High,,,테스트 완료 후 '바꿔야 할 것만' 이름·태그 정리(재생성은 최소). 각 담당은 '발생 가능 지점 · 증상 · 원인 · 해결 · 확인 명령' 표로 보고.
71,Task,네이밍·태그 규칙 확정 + 재생성 필요 목록 공지,팀장(박준석),2026-09-22,High,,70,
72,Sub-task,"규칙: mc-<계층>-<역할>[-<az>] · 태그 Project=mission-critical, Team=AWS1, Tier, Owner, Env=prod, ManagedBy=console",팀장(박준석),2026-09-22,Medium,,71,
73,Sub-task,이름 불변 리소스(ALB·TG·SG·RDS 식별자·S3·IAM·Secrets·로그 그룹)는 Name 태그로 · 재생성은 팀장 승인,팀장(박준석),2026-09-22,Medium,,71,
74,Task,이름·태그 적용 — 팀장,팀장(박준석),2026-09-23,High,,70,
75,Sub-task,CloudFront 설명(comment) · WAF · Route 53 · ACM · Bastion · S3 · KMS · CloudTrail · SNS · 알람 이름/태그,팀장(박준석),2026-09-23,Medium,,74,
76,Task,이름·태그 적용 — WEB 담당,WEB 담당,2026-09-23,High,,70,
77,Sub-task,WEB EC2 Name · SG · LT/ASG · TG(mc-tg-web 이면 유지) · 로그 그룹 태그,WEB 담당,2026-09-23,Medium,,76,
78,Task,이름·태그 적용 — WAS 담당,WAS 담당,2026-09-23,High,,70,
79,Sub-task,WAS EC2 Name · SG · Internal ALB/TG(재생성 시 Apache ProxyPass DNS 변경 → WEB 새로 고침 주의) · 로그 그룹 태그,WAS 담당,2026-09-23,Medium,,78,
80,Task,이름·태그 적용 — DB 담당,DB 담당,2026-09-23,High,,70,
81,Sub-task,RDS Name 태그(식별자 변경은 엔드포인트 변경·Proxy 재등록 → 안 함) · Proxy · 파라미터 그룹 · Backup · 비밀 태그,DB 담당,2026-09-23,Medium,,80,
82,Task,트러블슈팅 정리 보고 — CDN·보안·공통,팀장(박준석),2026-09-23,High,,70,
83,Sub-task,표: 발생 지점 · 증상 · 원인 · 해결 · 확인 명령 (사전 목록 6~8건 + 이번에 실제 겪은 것),팀장(박준석),2026-09-23,Medium,,82,
